n_episode : 179, Total Frames : 10820, Average Score : 166.2, Episode Score : 120.0, Best Score : 1020.0, n_buffer : 10820, eps : 89.9%
n_episode : 180, Total Frames : 10917, Average Score : 167.6, Episode Score : 420.0, Best Score : 1020.0, n_buffer : 10917, eps : 89.8%
n_episode : 181, Total Frames : 10963, Average Score : 167.2, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 10963, eps : 89.8%
n_episode : 182, Total Frames : 10980, Average Score : 166.3, Episode Score : 0.0, Best Score : 1020.0, n_buffer : 10980, eps : 89.7%
n_episode : 183, Total Frames : 11067, Average Score : 167.8, Episode Score : 440.0, Best Score : 1020.0, n_buffer : 11067, eps : 89.7%
n_episode : 184, Total Frames : 11111, Average Score : 167.2, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 11111, eps : 89.6%
n_episode : 185, Total Frames : 11167, Average Score : 167.2, Episode Score : 180.0, Best Score : 1020.0, n_buffer : 11167, eps : 89.6%
n_episode : 186, Total Frames : 11189, Average Score : 166.6, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 11189, eps : 89.5%
n_episode : 187, Total Frames : 11247, Average Score : 166.5, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 11247, eps : 89.5%
n_episode : 188, Total Frames : 11301, Average Score : 166.3, Episode Score : 120.0, Best Score : 1020.0, n_buffer : 11301, eps : 89.5%
n_episode : 189, Total Frames : 11352, Average Score : 166.0, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 11352, eps : 89.4%
n_episode : 190, Total Frames : 11418, Average Score : 166.0, Episode Score : 170.0, Best Score : 1020.0, n_buffer : 11418, eps : 89.4%
n_episode : 191, Total Frames : 11470, Average Score : 165.8, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 11470, eps : 89.3%
n_episode : 192, Total Frames : 11514, Average Score : 165.2, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 11514, eps : 89.3%
n_episode : 193, Total Frames : 11577, Average Score : 165.1, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 11577, eps : 89.2%
n_episode : 194, Total Frames : 11621, Average Score : 164.5, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 11621, eps : 89.2%
n_episode : 195, Total Frames : 11653, Average Score : 163.8, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 11653, eps : 89.1%
n_episode : 196, Total Frames : 11712, Average Score : 163.9, Episode Score : 190.0, Best Score : 1020.0, n_buffer : 11712, eps : 89.1%
n_episode : 197, Total Frames : 11773, Average Score : 164.0, Episode Score : 170.0, Best Score : 1020.0, n_buffer : 11773, eps : 89.1%
n_episode : 198, Total Frames : 11825, Average Score : 163.4, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 11825, eps : 89.0%
n_episode : 199, Total Frames : 11868, Average Score : 163.1, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 11868, eps : 89.0%
n_episode : 200, Total Frames : 11920, Average Score : 162.9, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 11920, eps : 88.9%
n_episode : 201, Total Frames : 11942, Average Score : 162.1, Episode Score : 0.0, Best Score : 1020.0, n_buffer : 11942, eps : 88.9%
n_episode : 202, Total Frames : 12004, Average Score : 162.0, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 12004, eps : 88.9%
n_episode : 203, Total Frames : 12050, Average Score : 161.6, Episode Score : 70.0, Best Score : 1020.0, n_buffer : 12050, eps : 88.8%
